code,nom,geometry,n_bike_stations
69256,Vaulx-en-Velin,"POLYGON ((550337.7817644065 5749878.811934633, 551200.5249551223 5749756.61720749, 552487.5111211243 5750108.841583344, 553299.592038466 5749535.283291229, 554372.6702607573 5749255.176428093, 553855.7447314037 5746246.784862852, 554890.6221007798 5745076.632134214, 554903.3255702094 5740975.14016174, 552957.6891093057 5740796.50792613, 549090.8076101172 5739432.095735885, 547424.0455425904 5740104.672738957, 547830.3638144073 5741362.0902175745, 547574.8732309258 5742742.198702275, 546046.7131287679 5744412.763957418, 546291.1288392111 5745743.94214288, 545612.6953409351 5746240.328163769, 544016.7159942458 5746615.945741725, 543217.4297653872 5747608.787168363, 544110.0941996186 5748495.360957771, 548114.651563313 5748994.706673269, 550337.7817644065 5749878.811934633))",7
69389,Lyon 9e  Arrondissement,"POLYGON ((538445.2804261696 5749662.756955086, 538951.3012619007 5748906.2734471755, 538453.3583549083 5748076.239157371, 537530.2256665642 5747686.857432504, 536467.587855558 5746693.062439753, 535482.2648831814 5745127.55125423, 535766.4443558264 5743775.847405635, 536525.9316049594 5743113.195228176, 535374.952652037 5742663.398796847, 532837.7540956705 5742635.562874806, 533493.3361796014 5744092.853596757, 533801.6288128737 5744488.775433898, 533072.8679743763 5746685.037452889, 534630.5293271512 5747031.277068517, 535925.0346741574 5747428.770626981, 536366.4331449834 5748255.58611244, 538445.2804261696 5749662.756955086))",29
69068,Couzon-au-Mont-d'Or,"POLYGON ((537838.3550371239 5761059.925752637, 536543.7153196667 5761403.2326345015, 535983.4435635501 5761838.49268293, 537174.0871641077 5762510.879893415, 538847.1980555507 5762445.54482293, 539752.8044546752 5762834.0121344635, 541026.9170281374 5764088.8026123755, 541691.8351928499 5762893.984322209, 541689.8163540614 5761936.796905141, 540435.0654468286 5761873.985458164, 539578.5438313091 5759838.427771562, 540127.3832762409 5758835.076350295, 538433.9077733043 5759026.1095834, 538481.8769146422 5756923.886985823, 538399.3472126204 5756632.133542688, 537895.0000681053 5754691.309115385, 535097.7699183667 5755284.067092352, 534953.2297391276 5755318.762691804, 535791.4324532871 5757095.702440873, 536417.9029969688 5757406.756395423, 537838.3550371239 5761059.925752637))",4
69387,Lyon 7e  Arrondissement,"POLYGON ((539808.3428309023 5735438.025821262, 538506.9469470999 5735355.055946956, 538847.3651257347 5733686.793244505, 538478.9780079041 5733569.333669943, 536899.4156174225 5734731.703726473, 536634.8594989625 5735414.655863142, 536444.2910126344 5736403.87892055, 536715.9627026794 5738045.614205181, 538626.084627402 5741451.777491239, 541002.6372255606 5740305.360800233, 540567.4722516917 5738854.810502999, 539799.5464888833 5738501.650839034, 539587.4148859163 5736460.789573325, 539808.3428309023 5735438.025821262))",45
69385,Lyon 5e  Arrondissement,"POLYGON ((536525.9316049594 5743113.195228176, 537727.129565125 5742723.984025942, 536874.705288552 5740663.196690762, 536348.9381089667 5740202.602834947, 535835.4468538979 5740019.321011664, 534604.8586111591 5740652.398933797, 533591.9349118125 5740132.95464093, 531824.5835729715 5739908.238441661, 531184.531805074 5740502.603827198, 531830.201943703 5741013.836005633, 532837.7540956705 5742635.562874806, 535374.952652037 5742663.398796847, 536525.9316049594 5743113.195228176))",23
69381,Lyon 1er Arrondissement,"POLYGON ((536525.9316049594 5743113.195228176, 535766.4443558264 5743775.847405635, 538195.0041874988 5744294.144990966, 538757.0901566638 5744058.199114539, 538759.3766620882 5742972.28885573, 537727.129565125 5742723.984025942, 536525.9316049594 5743113.195228176))",20
69266,Villeurbanne nord,"POLYGON ((540827.3230288705 5743956.364275277, 541056.5514993867 5746194.366744248, 541734.9004886696 5746371.2714569485, 543217.4297653872 5747608.787168363, 544016.7159942458 5746615.945741725, 545612.6953409351 5746240.328163769, 546291.1288392111 5745743.94214288, 546046.7131287679 5744412.763957418, 546697.7602753574 5743701.047468408, 541065.6419461648 5743701.047468408, 540827.3230288705 5743956.364275277))",34
69290,Saint-Priest,"POLYGON ((546528.9432083046 5735260.280741545, 549468.4911764194 5736562.670571492, 550774.6894354417 5736466.949272846, 552605.3992766328 5735596.721193783, 553660.2348401274 5735697.7224016115, 554204.2641136122 5734427.140919073, 555107.3561550499 5734486.385959413, 556604.2642403754 5733703.754723411, 555579.9517162465 5730044.145087558, 555602.5332169831 5728802.660193803, 553799.4517614587 5729387.156032306, 553189.680228787 5728676.240668159, 551463.1175617717 5729630.484302516, 549259.1733238079 5729775.498244247, 548230.3925320997 5729572.948807807, 546760.6378868094 5730532.116077746, 544894.6584060607 5732956.869339856, 546528.9432083046 5735260.280741545))",2
69383,Lyon 3e  Arrondissement,"POLYGON ((538780.4039967821 5742539.158955416, 542124.6164361426 5742566.542543637, 543099.4285031646 5741143.628432488, 545356.0545164545 5740768.419096412, 544606.5687495949 5738624.7108839145, 541002.6372255606 5740305.360800233, 538626.084627402 5741451.777491239, 538780.4039967821 5742539.158955416))",55
69266,Villeurbanne sud,"POLYGON ((543099.4285031646 5741143.628432488, 542124.6164361426 5742566.542543637, 541065.6419461648 5743701.047468408, 546697.7602753574 5743701.047468408, 547574.8732309258 5742742.198702275, 547830.3638144073 5741362.0902175745, 547424.0455425904 5740104.672738957, 545356.0545164545 5740768.419096412, 543099.4285031646 5741143.628432488))",38
